text	label
@VonMieuhlbagge Jag vill ha ett Sverige med svensk kultur d.v.s. solidaritet, jämställdhet, religionsfrihet, yttrandefrihet	0
@krigsplacerad @domarebraten Men alltså vad kulturberikande ändå. Nu behöver man inte kolla krigsdokumentärer längre. Pansaringlasad balkong och fram med kikarn, lådvinet och tilltugg.	1
Skönt att bostäder och hus blir billigare. Det har varit onormal marknad sista 15 åren. Bostadsbrist pga immigration och globaliseringen som sänkte räntan. 🥳 aftonbladet.se/minekonomi/a/O…	0
Sluta demonisera globaliseringen dlvr.it/SbGKrB https://t.co/jOcrZsiDXh	0
@Ro_stenberg @Aftonbladet Det finns bara en sak som kommer att verkligen rädda jordens folk och det är inte grön politik, utan kapitalismen och globaliseringen så att de fattiga får pengar i fickan så att de kan börja utmana storbönder och människor slipper slaveriskulder, som Indien håller på med. 🤦🙄😆	0
Vi vet alla vem och vilka som bestämmer i Sverige 2022. SD, ett rasistiskt och fascistiskt skräpparti som befolkas av rasister, fascister, nazister, haverister, kriminella, hatare och råpuckon. https://t.co/wOxDsbEC4I	0
Det ”demokratiska statsskick” den förutvarande excellensens kuriöse konsult så salvelsefullt omnämner, upphörde den stund socialakrobaterna prisgav Sveriges suveränitet och offrade folkstyret på globalismens solkade altare.  Uppvisningsfilantroperna vredgas över maktskiftet. twitter.com/jackdoe/status…	1
@EmilBergholtz Var det en i raden av kulturberikande läkare som skrev så?	1
@guywilson1961 @anderslindberg Ja, vi borde kriminalisera alkohol också så att kriminella kan tjäna ännu mer pengar!	0
@magisteradastra @Pulaoshi Det syftar nog på ett visst ideologiskt synsätt kopplat till globaliseringen, att nationen försvagats som begrepp, är mitt intryck.	0
@GreiderDD OCH elefanten i rummet, dvs det brutala omfattande kulturberikande våldet och kriminaliteten.	1
@TomasGabrielss1 Alla länder har en egen kultur, så oxå Sverige. Men sen är ju den kulturen en mix av olika influenser. Våra kungar, våra författare, våra krig, allt är en del av en svensk kultur och vår historia.	0
@dzeniel021_ @ErikNille @MikailYuksel_ Du kommer säkert bli en populär advokat för de kriminella muslimerna…🤮	1
"@gma_z1 Sverige har ingen suveränitet att fatta såna beslut, det är USA som vill ""undersöka"" sin egen brottsplats."	0
@AwadNadja Läs och lär av svensk kultur. Det är aldrig för sent.	0
@StaffanG_son @fialott1 Kulturyttringar som finns i Sverige är inte det samma som en homogen svensk kultur 🙂 Dessutom är allt som alla räknar upp, som finns i Sverige, utmärkta exempel på att inget hot finns!	0
Det är tragikomiskt att svenskar ej förstår att stora klaner och stora mogna kriminella gäng   -jag tänker då ej på gängbrottslighet upp till 30 års ålder-   kan ofta hålla bättre ordning i bostadsområden än polis.   Det är bara att anpassa sig till reglerna de stiftar.	0
@GreiderDD man kanske bör fundera över hur rimligt det är att automatiskt tro att 20 % av landets väljare är rasister. Det är globaliseringen som har drivit på nationalistiska partier över hela Europa. Samma globalisering som S och andra partier räknat med att väljarna bara ska svälja.	1
”Tänk om folk som röstar på SD inte är en rasande och hopplös slaggprodukt av globaliseringen och den upplysta framtid som riktiga människor välkomnar? Tänk om folk som röstar på SD gör det för att de tycker partiet har en bra politik?” expressen.se/kronikorer/joh…	1
Vi ska inte tillbaka till Höjers sjukvårdsmodell, den behöver vidareutvecklas eftersom samhället ser annorlunda ut idag, främst genom datorernas intåg som ju är revolutionerande på många sätt, men också globaliseringen.	0
@GRUNDBULT Lika mycket svensk kultur som att pappan ska ”ge bort” sin dotter under vigselceremonin.	0
@jonatan_nilsson @Kaptenskog @vansterpartiet @zaralarsson Tack 🙏🏿   Efter snabb titt tokar jag det som att ”arbetare/lågutbildade” lider mest av globaliseringen och är därmed mest missnöjda med samhällsutvecklingen. Högutbildade har än så länge klarar sig ganska väl och kan t ex flytta/ byta skola etc undan från mångkulturen.	0
@TomasGabrielss1 Semantik.  Den svenska kulturens evolution har fått sin utveckling i regeringsformen.   Stark vetenskaplig svensk kultur, har uppfunnit det mesta i världen.	0
Vad har ni att säga den här gången @socialdemokrat ? Oacceptabelt ? Eller kanske bättre att vara tyst.... kulturberikande....... ert fulla ansvar med er politik! expressen.se/kvallsposten/s…	1
@RamonaFransson Inte otroligt, besökte det lokala badet igår, &gt;50% icke-svenskar, vattenpipor, fick ”njuta” av kulturberikande musik…..som låter värre än Håkan Hellströms värsta låtar	1
"@GPDebatt Varför fick islamguiden hederspris av er @IbnRushdStudief ? archive.li/cwz5f archive.li/1pThG Var det för att kulturberikande @islamguiden förespråkar STENING för äktenskapsbrott ""när två personer in flagranti begår ett så skändligt brott"": archive.li/5TgoO"	1
@0Pelleper @hanifbali Hur vet du att han inte begått några kriminella handlingar? Han verkar heller inte trivas med att det finns andra kulturer och etniciteter i Sverige så han har ju inte direkt anpassat sig.	0
Det va ju också ett sätt att hantera kriminella 😱 twitter.com/precision_mats…	0
